"ID","SampleName","Tree_Type","Rhizosphere_Manipulation","Substrate_Type","InjectionVol_ul","FAME_compound","Sample_Dilution","Peak_Area","d13","Atom_per_13C","FAME_per_C","Dry_Soil_Mass_g","nmol_FAME_per_g_soil","Microbial_Group"
17,"01.13.1","P","1","S",2,"12:0",0,15.53,-31.013,1.071736,0.7285,6.074,6271.83,"standard"
18,"01.13.1","P","1","S",2,"14:0",0,1.067,5.755,1.11195,0.7432,6.074,373.5,"bacteria"
19,"01.13.1","P","1","S",2,"a15:0",0,15.64,-8.881,1.095946,0.7494,6.074,5132.48,"gram+bacteria"
20,"01.13.1","P","1","S",2,"15:0",0,1.627,-13.301,1.091112,0.7494,6.074,533.92,"bacteria"
21,"01.13.1","P","1","S",2,"16:1n9/i16:0",0,2.254,223.851,1.34982,0.7606,6.074,696.18,"bacteria"
22,"01.13.1","P","1","S",2,"16:0",0,21.383,12.774,1.119624,0.755,6.074,6603.85,"bacteria"
23,"01.13.1","P","1","S",2,"i17:0",0,4.124,-29.396,1.073506,0.76,6.074,1202.88,"gram+bacteria"
24,"01.13.1","P","1","S",2,"17:0cy",0,5.833,-16.705,1.087389,0.7654,6.074,1701.41,"gram-bacteria"
25,"01.13.1","P","1","S",2,"17:0",0,5.332,-27.233,1.075872,0.76,6.074,1555.21,"bacteria"
26,"01.13.1","P","1","S",2,"18:3n6",0,0.414,-22.638,1.0809,0.7765,6.074,120.75,"fungi"
27,"01.13.1","P","1","S",2,"trans-18:1n9",0,6.115,-21.929,1.081675,0.7697,6.074,1689.78,"gram-bacteria"
28,"01.13.1","P","1","S",2,"18:0",0,5.504,0.174,1.105848,0.7645,6.074,1520.95,"bacteria"
29,"01.13.1","P","1","S",2,"19:0cy",0,24.437,-33.436,1.069085,0.7736,6.074,6415.24,"gram-bacteria"
30,"01.13.1","P","1","S",2,"19:0",0,14.658,-32.145,1.070498,0.8216,6.074,3848.07,"standard"
31,"01.13.1","P","1","S",2,"20:4n6",0,0.363,-26.851,1.07629,0.7919,6.074,90.76,"protozoa"
32,"01.13.2","P","2","S",2,"12:0",0,22.532,-50.775,1.050108,0.7285,6.008,6265.85,"standard"
33,"01.13.2","P","2","S",2,"14:0",0,2.888,17.481,1.124769,0.7432,6.008,696.11,"bacteria"
34,"01.13.2","P","2","S",2,"a15:0",0,49.538,7.656,1.114029,0.7494,6.008,11194.05,"gram+bacteria"
35,"01.13.2","P","2","S",2,"15:0",0,5.305,-9.002,1.095814,0.7494,6.008,1198.77,"bacteria"
36,"01.13.2","P","2","S",2,"16:1n9/i16:0",0,2.445,957.27,2.141408,0.7606,6.008,520,"bacteria"
37,"01.13.2","P","2","S",2,"16:0",0,31.755,103.591,1.218798,0.755,6.008,6753.03,"bacteria"
38,"01.13.2","P","2","S",2,"i17:0",0,11.204,-24.938,1.078383,0.76,6.008,2250.25,"gram+bacteria"
39,"01.13.2","P","2","S",2,"17:0cy",0,10.547,50.189,1.160506,0.7654,6.008,2118.37,"gram-bacteria"
