"ID","SampleName","InjectionVol_ul","FAME_compound","Sample_Dilution","Peak_Area","d13","Atom_per_13C","FAME_per_C"
74,"01.05.3","3 ul","18:0",0,9.96,86.393,1.200033,"0.7645"
75,"01.05.3","3 ul","19:0cy",0,35.779,-20.159,1.083611,"0.7736"
76,"01.05.3","3 ul","19:0",0,16.412,-30.499,1.072298,"0.8216"
77,"01.05.3","3 ul","20:4n6",0,1.217,3.182,1.109138,"0.7919"
78,"01.05.3","3 ul","20:5n3",0,1.141,-23.857,1.079566,"0.797"
79,"10.02.2","3 ul","12:0",0,17.417,-31.144,1.071593,"0.7285"
80,"10.02.2","3 ul","14:0",0,3.389,-8.634,1.096217,"0.7432"
81,"10.02.2","3 ul","a15:0",0,60.472,-16.173,1.087971,"0.7494"
82,"10.02.2","3 ul","15:0",0,5.917,-19.583,1.084241,"0.7494"
83,"10.02.2","3 ul","16:1n9/i16:0",0,6.209,71.051,1.183287,"0.7606"
84,"10.02.2","3 ul","16:0",0,64.274,-8.548,1.096311,"0.755"
85,"10.02.2","3 ul","i17:0",0,10.02,-29.621,1.073259,"0.76"
86,"10.02.2","3 ul","17:0cy",0,17.845,-22.842,1.080676,"0.7654"
87,"10.02.2","3 ul","17:0",0,13.991,-30.522,1.072274,"0.76"
88,"10.02.2","3 ul","18:3n6",0,1.147,1.083,1.106843,"0.7765"
89,"10.02.2","3 ul","trans-18:1n9",0,16.936,-6.842,1.098177,"0.7697"
90,"10.02.2","3 ul","18:0",0,15.803,-13.712,1.090663,"0.7645"
91,"10.02.2","3 ul","19:0",0,17.906,-33.295,1.06924,"0.8216"
92,"10.02.2","3 ul","20:4n6",0,0.982,-30.363,1.072447,"0.7919"
93,"10.02.2","3 ul","20:5n3",0,1.717,-33.594,1.068912,"0.797"
94,"10.02.1","3 ul","12:0",0,16.051,-30.602,1.072186,"0.7285"
95,"10.02.1","3 ul","14:0",0,2.908,29.92,1.138364,"0.7432"
96,"10.02.1","3 ul","a15:0",0,43.695,11.577,1.118315,"0.7494"
97,"10.02.1","3 ul","15:0",0,3.998,0.366,1.106058,"0.7494"
98,"10.02.1","3 ul","16:1n9/i16:0",0,6.89,179.72,1.301781,"0.7606"
99,"10.02.1","3 ul","16:0",0,60.748,10.308,1.116929,"0.755"
100,"10.02.1","3 ul","i17:0",0,8.066,-30.042,1.072799,"0.76"
101,"10.02.1","3 ul","17:0cy",0,14.137,-13.707,1.090669,"0.7654"
102,"10.02.1","3 ul","17:0",0,10.321,-24.843,1.078487,"0.76"
103,"10.02.1","3 ul","18:3n6",0,0.637,-14.758,1.089519,"0.7765"
104,"10.02.1","3 ul","trans-18:1n9",0,18.546,-9.619,1.09514,"0.7697"
105,"10.02.1","3 ul","18:0",0,17.234,11.741,1.118495,"0.7645"
106,"10.02.1","3 ul","19:0cy",0,63.4,-33.16,1.069387,"0.7736"
107,"10.02.1","3 ul","19:0",0,16.933,-34.419,1.068009,"0.8216"
108,"10.02.1","3 ul","20:4n6",0,0.784,-23.61,1.079836,"0.7919"
109,"10.02.3","2 ul","12:0",0,13.172,-30.958,1.071797,"0.7285"
110,"10.02.3","2 ul","14:0",0,1.426,-2.527,1.102895,"0.7432"
111,"10.02.3","2 ul","a15:0",0,24.547,-11.16,1.093454,"0.7494"
112,"10.02.3","2 ul","15:0",0,2.446,-13.931,1.090423,"0.7494"
113,"10.02.3","2 ul","16:1n9/i16:0",0,3.741,80.814,1.193945,"0.7606"
114,"10.02.3","2 ul","16:0",0,34.991,-8.94,1.095883,"0.755"
115,"10.02.3","2 ul","i17:0",0,0.391,-34.175,1.068276,"0.76"
116,"10.02.3","2 ul","17:0cy",0,8.818,-24.591,1.078763,"0.7654"
117,"10.02.3","2 ul","17:0",0,7.271,-26.312,1.076879,"0.76"
118,"10.02.3","2 ul","18:3n6",0,0.466,-18.708,1.085198,"0.7765"
119,"10.02.3","2 ul","trans-18:1n9",0,11.776,-16.319,1.087812,"0.7697"
120,"10.02.3","2 ul","18:0",0,9.549,-5.604,1.099531,"0.7645"
121,"10.02.3","2 ul","19:0cy",0,35.159,-34.012,1.068455,"0.7736"
122,"10.02.3","2 ul","19:0",0,13.445,-33.419,1.069104,"0.8216"
123,"10.02.3","2 ul","20:4n6",0,0.453,-24.693,1.078651,"0.7919"
124,"11.06.2","3 ul","12:0",0,15.588,-31.606,1.071088,"0.7285"
125,"11.06.2","3 ul","14:0",0,1.905,3.592,1.109586,"0.7432"
126,"11.06.2","3 ul","a15:0",0,28.027,1.777,1.107601,"0.7494"
