Core_ID,Clean_Core_ID,Mesh_Type,Label_Type,Core_Depth_cm,d13_day1,atom_percent_day1,ppmv_day1,d13_day2,atom_percent_day2,ppmv_day2,d13_day3,atom_percent_day3,ppmv_day3,d13_day4,atom_percent_day4,ppmv_day4,d13_day5,atom_percent_day5,ppmv_day5,d13_day6,atom_percent_day6,ppmv_day6,d13_day7,atom_percent_day7,ppmv_day7,d13_day9,atom_percent_day9,ppmv_day9,Core_Volume_m3,Gas_Moles,C13_ug_D1,C13_ug_D2,C13_ug_D3,C13_ug_D4,C13_ug_D5,C13_ug_D6,C13_ug_D7,C13_ug_D9,Total_13C_ug,PeakDay_13C_CO2_ug
34.6.1,34.06.1,1,starch,5,77.35,1.190171,812.6633294,227.3141026,1.353600236,580.9716594,139.8965923,1.258401039,817.7537329,159.7,1.279989,733.2,-9.990725988,1.094742798,582.851193,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.82E-05,1.36E-05,0.001108774,0.000792661,0.00111572,0.001000357,0.000795225,NA,NA,NA,0.693034199,0.114143186
34.6.2,34.06.2,2,starch,4,25.29,1.133318,640.5293795,33.60336551,1.142398024,659.3247153,23.16824332,1.130994969,704.0419516,25.2,1.133221,619.8,-6.479183009,1.09858317,693.1563196,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.85E-05,1.09E-05,0.000699136,0.000719651,0.00076846,0.00067651,0.000756578,NA,NA,NA,0.521328142,0.103629734
34.6.3,34.06.3,3,starch,5,-8.38,1.096506,630.113631,37.95095067,1.147148103,594.1283944,10.89766526,1.11758284,696.3671895,10.2,1.116822,614.5,-7.937340364,1.096988504,675.6531632,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.82E-05,1.36E-05,0.000859709,0.000810612,0.000950103,0.000838406,0.000921842,NA,NA,NA,0.630816736,0.116728082
37.4.1,37.04.1,1,starch,4,-5.81,1.099311,707.8010187,13.81309135,1.120769822,783.1781465,0.766888264,1.106506838,739.1657353,-6.1,1.099,706.5,-13.83015878,1.09054349,772.3708284,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.85E-05,1.09E-05,0.000772563,0.000854837,0.000806797,0.000771143,0.00084304,NA,NA,NA,0.58296664,0.123096467
37.4.2,37.04.2,2,starch,6.5,-11.8,1.092761,773.2322813,-10.65345919,1.094017971,694.3701851,-12.9363741,1.091521082,834.5912212,-12.75,1.091727,828.1,-4.540935933,1.100702792,739.9880312,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000127627,1.77E-05,0.001371469,0.001231592,0.0014803,0.001468787,0.001312504,NA,NA,NA,0.988509784,0.177349292
37.4.3,37.04.3,3,starch,7.5,-12.91,1.091551,593.4627263,-12.47772032,1.092022735,695.8581492,-12.49772076,1.092000859,785.0185231,-11.68,1.092892,603.4,-13.17339039,1.091261843,853.2299291,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000147262,2.05E-05,0.001214555,0.001424113,0.001606585,0.001234892,0.001746184,NA,NA,NA,1.040591431,0.205072307
43.2.1,43.02.1,1,starch,7,39.45,1.148781,786.4673302,103.9960384,1.219251462,747.936892,-11.50558746,1.093085989,546.4743869,-11.43,1.093164,884.8,-12.15546909,1.092375194,684.0719074,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000137445,1.91E-05,0.001502247,0.001428649,0.001043831,0.001690074,0.001306659,NA,NA,NA,1.003890295,0.205725455
43.2.2,43.02.2,2,starch,5.5,3.04,1.108996,799.075868,17.32602235,1.124609691,898.8086183,23.95540146,1.131855233,867.2089601,-12.35,1.092163,784,-9.815170885,1.094934799,709.9938079,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000107992,1.50E-05,0.00119926,0.001348939,0.001301514,0.001176634,0.001065565,NA,NA,NA,0.877235328,0.194247284
43.2.3,43.02.3,3,starch,8.5,-3.88,1.101423,737.3645156,10.58990724,1.117246404,818.1453024,7.101898533,1.11343321,810.8229528,-12.34,1.092168,645.7,-12.2550118,1.092266321,755.4158693,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000166897,2.32E-05,0.001710266,0.001897632,0.001880648,0.001497657,0.001752135,NA,NA,NA,1.25832059,0.273258955
48.1.1,48.01.1,1,starch,7,-10.39,1.094305,1182.265776,-18.34738767,1.085602399,1722.200952,-15.06999391,1.089187367,1242.175908,83.84,1.197255,973.7,-10.92110894,1.093725242,589.5470313,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000137445,1.91E-05,0.002258269,0.00328961,0.002372705,0.001859884,0.001126105,NA,NA,NA,1.570546479,0.473703836
