FAME_compound,chemical_formula,C,H,O
12:00,C13H26O2,13,26,2
14:00,C15H30O2,15,30,2
a15:0,C16H32O2,16,32,2
15:00,C16H32O2,16,32,2
16:1n9/i16:0,C17H32O2,17,32,2
16:00,C17H34O2,17,34,2
i17:0,C18H36O2,18,36,2
17:0cy,C18H34O2,18,34,2
17:00,C18H36O2,18,36,2
18:00,C19H38O2,19,38,2
19:0cy,C20H38O2,20,38,2
19:00,C20H40O2,20,20,2
20:4n6,C21H34O2,21,34,2
20:5n3,C21H32O2,21,32,2
"18:2n9,12 and cis-18:1n9 and 18:3n3",C19H34O2,19,34,2
trans-18:1n9,C19H36O2,19,36,2
