"core_ID","Exclusion","Tree_species","Isotope_label","Tree_DBH","x_plot","y_plot","Slope_cardinal","Slope","Slope_angle","Depth","Day5_temp_in","Day5_temp_out","GWC","MBC","MBN","MBC_noneg","MBN_noneg","SRL","Dry_root_wt","D7_inc_Co2","D12_inc_Co2","D21_inc_Co2","D42_inc_Co2","D60_inc_Co2","Unsieved_soil_wt","Sieved_soil_wt","Efflux_d1","Efflux_d2","Efflux_d3","Efflux_d4","Efflux_d5","Efflux_d6","Efflux_d7","Efflux_d9","d13_d2","d13_d3","d13_d4","d13_d5","d13_d6","d13_d7","d13_d9","nag","phos","cbh","lap","a_gluc","b_gluc","per_AMF","Mean_Respiration"
"01_05_1","1","Goeth","L",27.9,3.6,6,"N",4.5,0.044969662,5,NA,NA,0.30235455,"27.01650818",5531.053264,27.01650818,5531.053264,8.293518634,32.2,27.6,68.18469028,73.47725992,191.7469767,46.30025956,"333.84","263.5",NA,1.346274387,NA,1.914887273,NA,1.408938551,4.550620489,1.043251652,NA,NA,-4.47,NA,4.81,-0.67,35.15,NA,NA,NA,NA,NA,NA,36,2.0527944704
"01_05_2","2","Goeth","L",27.9,3.6,6,"N",4.5,0.044969662,5,NA,NA,0.297504955,"-55.28861193",-8175.160387,NA,NA,21.67672751,37.8,29.01,73.61792293,42.89878573,163.168064,33.23392575,"311.59","278.25",NA,2.096568775,NA,2.199966621,NA,2.920436089,2.518760545,1.817453041,NA,NA,-6.77,NA,-8.63,NA,-5.96,703.3770005,33.31582912,NA,NA,NA,NA,24,2.3106370142
"01_05_3","3","Goeth","L",27.9,3.6,6,"N",4.5,0.044969662,7,NA,NA,0.304084237,"",NA,NA,NA,30.72519149,112.8,104.07,163.8583674,195.6777615,455.3575661,85.16894512,"302.15","255.62",NA,1.506538963,NA,1.06330838,NA,1.333208466,2.895538529,0.858654692,NA,NA,-12.17,NA,-10.88,NA,-12.24,1009.260891,23.14169619,5.185113523,7.792941874,3.60271904,54.94309516,52.94117647,1.531449806
"01_13_1","1","Penta","S",NA,NA,NA,"N",5.5,0.054944642,4,NA,NA,0.205307012,"-71.00577667",-458.6838503,NA,NA,34.28906667,16.5,22.55,15.06362576,73.95163508,205.5028277,16.8297296,"424.54","337.66",0.855026002,NA,2.006687248,2.722634818,2.447862652,NA,NA,NA,177.49,6.68,64.29,-4.11,NA,NA,NA,349.6430818,3.487509561,1.278120505,2.751277029,3.396439294,17.08234832,42,2.00805268
"01_13_2","2","Penta","S",NA,NA,NA,"N",5.5,0.054944642,7,NA,NA,0.289115621,"-167.3769807",1631.705776,NA,1631.705776,25.01676296,13.5,12.69,20.22912901,73.15508239,137.4571506,43.2757737,"318","269.42",2.693584864,NA,0.708340704,1.306573537,2.190111954,NA,NA,NA,42.58,-4.41,16.99,48.05,NA,NA,NA,1013.205547,27.15894503,9.650286299,NA,1.382208005,70.82530586,4,1.72465276475
"01_13_3","3","Penta","S",NA,NA,NA,"N",5.5,0.054944642,5,25.4,25.5,0.224647421,"189.1096712",1937.322208,189.1096712,1937.322208,27.50712595,551,22.9,115.8800808,112.2190842,363.1212577,17.81570721,"319.58","281.4",4.158697576,NA,0.817565013,0.953825116,1.562558495,NA,NA,NA,47.49,-10.01,NA,-2.14,NA,NA,NA,860.8575454,464.2659748,7.396178653,NA,1.690990805,17.34549126,56,1.87316155
"02_05_1","1","Goeth","SW",17.2,16.15,1.8,"N",20,0.19739556,7.5,25.7,25.7,0.198875485,"-45.71269314",3671.824963,NA,3671.824963,57.35219364,144.6,21.06,107.3311065,121.1319235,320.867368,75.30031175,"207.53","182.29",2.369207232,NA,1.457256949,1.984928554,3.952008894,NA,NA,NA,-17.97,-18.09,808.8,-17.87,NA,NA,NA,555.8584409,NA,19.10495413,NA,2.345940019,39.97733887,62,2.44085040725
"02_05_2","2","Goeth","SW",17.2,16.15,1.8,"N",20,0.19739556,3,NA,NA,0.314825867,"89.35831595",58169.84174,89.35831595,58169.84174,80.71752525,9.9,16.04,120.0250364,72.94894468,262.3884114,72.99462724,"297.74","258.8",9.294117091,NA,6.881802262,6.374386813,3.572988151,NA,NA,NA,-18.12,-19.08,68.78,-19.42,NA,NA,NA,721.8222173,17.22067762,10.07441225,10.63485587,3.114732013,36.93980777,66,6.53082357925
"02_05_3","3","Goeth","SW",17.2,16.15,1.8,"N",20,0.19739556,9,NA,NA,0.174969601,"-185.6245788",6398.884006,NA,6398.884006,14.07461745,428.7,NA,NA,NA,NA,NA,"251.36","204.83",0.712213908,NA,3.943839246,2.536523388,1.489051837,NA,NA,NA,-10.41,-13.5,27.29,-13.01,NA,NA,NA,889.0897532,18.50021278,NA,0.784329751,2.370166622,NA,50,2.17040709475
"02_08_1","1","Goeth","L",17.2,11.25,3.6,"N",19,0.187761947,8,NA,NA,0.194766011,"-202.2615906",13273.90823,NA,13273.90823,33.85332094,131.8,28.25,75.51076321,103.5348967,178.2426548,67.57442862,"325.07","279.77",NA,0.37753976,NA,0.735065115,NA,1.605519882,1.08632982,0.503766275,NA,NA,-11.38,NA,-12.08,-12.04,6.34,566.2916157,28.6344335,3.78824992,NA,NA,50.23947468,38,0.8616441704
