"Sample_Name","Tree","Rhizosphere_Manipulation","Microbial_Group","umol_FAME","ln_FAME"
"12.09.1","G","1","BACTERIA",81.58077,4.40159357243276
"12.09.2","G","2","BACTERIA",34.68521,3.54631337130935
"12.09.3","G","3","BACTERIA",41.74947,3.73168675660551
"14.10.1","G","1","BACTERIA",22.63644,3.11956099715462
"14.10.2","G","2","BACTERIA",18.4187,2.91336645287514
"14.10.3","G","3","BACTERIA",16.37768,2.79591943225194
"15.16.2","P","2","BACTERIA",17.66757,2.87173075565228
"17.01.1","G","1","BACTERIA",29.35876,3.37959096852199
"17.01.1b","G","1","BACTERIA",20.48916,3.01989596580285
"17.01.3","G","3","BACTERIA",14.79697,2.69442243008035
"17.06.1","P","1","BACTERIA",34.93268,3.55342278075387
"17.06.2","P","2","BACTERIA",30.98915,3.43363714322085
"17.06.3","P","3","BACTERIA",26.2987,3.26951950830424
"18.05.1","P","1","BACTERIA",17.05229,2.83628450556107
"18.05.2","P","2","BACTERIA",48.67512,3.8851680165865
"18.05.3","P","3","BACTERIA",35.53173,3.57042610009439
"20.04.1","P","1","BACTERIA",14.90116,2.70143906227007
"20.04.2","P","2","BACTERIA",24.7994,3.21081945932988
"22.07.2","G","2","BACTERIA",65.75398,4.18592020154526
"22.07.3","G","3","BACTERIA",41.62738,3.72875812384323
"24.02.1","G","1","BACTERIA",39.01574,3.6639651544528
"24.02.2","G","2","BACTERIA",22.04808,3.09322552327169
"24.02.3","G","3","BACTERIA",38.90358,3.66108627723815
"28.01.2","P","2","BACTERIA",8.09653,2.09143557482929
"28.01.3","P","3","BACTERIA",33.19247,3.50232304296888
"34.06.1","G","1","BACTERIA",36.48136,3.59680144521298
"34.06.3","G","3","BACTERIA",25.02651,3.21993566304126
"37.04.1","P","1","BACTERIA",30.37198,3.41352047284952
"37.04.2","P","2","BACTERIA",64.07251,4.16001541078493
"37.04.3","P","3","BACTERIA",31.58515,3.45268707342914
"43.02.1","G","1","BACTERIA",15.14114,2.7174155424005
"43.02.2","G","2","BACTERIA",27.41809,3.31120301452346
"43.02.3","G","3","BACTERIA",23.72872,3.16668612883271
"46.03.2","P","2","BACTERIA",6.26394,1.83480938009857
"46.03.3","P","3","BACTERIA",26.21699,3.26640767388155
"48.01.1","G","1","BACTERIA",25.62075,3.2434025700448
"48.01.3","G","3","BACTERIA",31.9798,3.46510445347756
"52.04.1","P","1","BACTERIA",25.93109,3.25544263491852
"52.04.2","P","2","BACTERIA",20.71509,3.0308624201977
"52.04.3","P","3","BACTERIA",12.47712,2.5238965670792
"55.11.1","P","1","BACTERIA",22.30659,3.10488215050498
"55.11.2","P","2","BACTERIA",49.52732,3.90252443651518
"58.05.1","P","1","BACTERIA",11.16079,2.41240674297824
"58.05.2","P","2","BACTERIA",15.17379,2.71956959735788
"58.05.3","P","3","BACTERIA",37.86208,3.63395008352194
"63.04.2","P","2","BACTERIA",34.55407,3.54252534356521
"01.05.1","G","1","FUNGI",4.32738,1.46496227804771
"01.05.3","G","3","FUNGI",1.58043,0.457696961910999
"01.13.1","P","1","FUNGI",1.46205,0.379839560469192
"01.13.2","P","2","FUNGI",1.78398,0.578846823332645
"01.13.3","P","3","FUNGI",0.91466,-0.0892028674607708
"02.08.1","G","1","FUNGI",3.19285,1.1609139348653
