"ID","SampleName","Injection_vol_ul","FAME_compound","Sample_Dilution","Peak_Area","d13","Atom_per_13C","FAME_per_C","Dry_Soil_Mass_g","ID.1","SampleName.1","Injection_vol_ul.1","FAME_compound.1","Sample_Dilution.1","Peak_Area.1","d13.1","Atom_per_13C.1","FAME_per_C.1","Dry_Soil_Mass_g.1","StandardRatio","ugC_FAME_compound","Total_C_ug"
75,"01.13.3",2.5,"i17:0",0,7.677,-32.55,1.070054,0.76,6.002,75,"01.13.3",2.5,"i17:0",0,7.677,-32.55,1.070054,0.76,6.002,0.57495,13.3525,1602.3
76,"01.13.3",2.5,"17:0cy",0,8.058,-21.404,1.082249,0.7654,6.002,76,"01.13.3",2.5,"17:0cy",0,8.058,-21.404,1.082249,0.7654,6.002,0.57495,14.0151,1681.81
77,"01.13.3",2.5,"17:0",0,6.401,-27.395,1.075694,0.76,6.002,77,"01.13.3",2.5,"17:0",0,6.401,-27.395,1.075694,0.76,6.002,0.57495,11.1331,1335.97
78,"01.13.3",2.5,"trans-18:1n9",0,8.874,-20.238,1.083525,0.7697,6.002,78,"01.13.3",2.5,"trans-18:1n9",0,8.874,-20.238,1.083525,0.7697,6.002,0.57495,15.4344,1852.13
79,"01.13.3",2.5,"18:0",0,8.124,-8.908,1.095917,0.7645,6.002,79,"01.13.3",2.5,"18:0",0,8.124,-8.908,1.095917,0.7645,6.002,0.57495,14.1299,1695.59
80,"01.13.3",2.5,"19:0cy",0,29.943,-34.337,1.068099,0.7736,6.002,80,"01.13.3",2.5,"19:0cy",0,29.943,-34.337,1.068099,0.7736,6.002,0.57495,52.0793,6249.52
81,"01.13.3",2.5,"19:0",0,14.084,-33.126,1.069424,0.8216,6.002,81,"01.13.3",2.5,"19:0",0,14.084,-33.126,1.069424,0.8216,6.002,0.57495,24.496,2939.52
82,"01.13.3",2.5,"20:4n6",0,0.996,-36.97,1.065218,0.7919,6.002,82,"01.13.3",2.5,"20:4n6",0,0.996,-36.97,1.065218,0.7919,6.002,0.57495,1.7323,207.88
83,"01.13.3",2.5,"20:5n3",0,1.886,-35.259,1.06709,0.797,6.002,83,"01.13.3",2.5,"20:5n3",0,1.886,-35.259,1.06709,0.797,6.002,0.57495,3.2803,393.64
84,"02.08.1",3,"12:0",0,16.26,-30.341,1.072472,0.7285,6.004,84,"02.08.1",3,"12:0",0,16.26,-30.341,1.072472,0.7285,6.004,0.28905,56.2532,5625.32
85,"02.08.1",3,"14:0",0,1.319,56.009,1.166862,0.7432,6.004,85,"02.08.1",3,"14:0",0,1.319,56.009,1.166862,0.7432,6.004,0.28905,4.5632,456.32
86,"02.08.1",3,"a15:0",0,24.472,-0.793,1.104792,0.7494,6.004,86,"02.08.1",3,"a15:0",0,24.472,-0.793,1.104792,0.7494,6.004,0.28905,84.6636,8466.36
87,"02.08.1",3,"15:0",0,2.782,30.283,1.13876,0.7494,6.004,87,"02.08.1",3,"15:0",0,2.782,30.283,1.13876,0.7494,6.004,0.28905,9.6246,962.46
88,"02.08.1",3,"16:1n9/i16:0",0,2.671,161.454,1.281884,0.7606,6.004,88,"02.08.1",3,"16:1n9/i16:0",0,2.671,161.454,1.281884,0.7606,6.004,0.28905,9.2406,924.06
89,"02.08.1",3,"16:1w5",0,3.832,60.473,1.171737,0.7554,6.004,89,"02.08.1",3,"16:1w5",0,3.832,60.473,1.171737,0.7554,6.004,0.28905,13.2572,1325.72
90,"02.08.1",3,"16:0",0,26.196,274.107,1.404471,0.755,6.004,90,"02.08.1",3,"16:0",0,26.196,274.107,1.404471,0.755,6.004,0.28905,90.6279,9062.79
91,"02.08.1",3,"i17:0",0,4.779,-33.194,1.069349,0.76,6.004,91,"02.08.1",3,"i17:0",0,4.779,-33.194,1.069349,0.76,6.004,0.28905,16.5335,1653.35
92,"02.08.1",3,"17:0cy",0,7.285,9.359,1.115891,0.7654,6.004,92,"02.08.1",3,"17:0cy",0,7.285,9.359,1.115891,0.7654,6.004,0.28905,25.2033,2520.33
93,"02.08.1",3,"17:0",0,5.792,-0.752,1.104836,0.76,6.004,93,"02.08.1",3,"17:0",0,5.792,-0.752,1.104836,0.76,6.004,0.28905,20.0381,2003.81
94,"02.08.1",3,"18:3n6",0,0.546,62.517,1.173969,0.7765,6.004,94,"02.08.1",3,"18:3n6",0,0.546,62.517,1.173969,0.7765,6.004,0.28905,1.8889,188.89
