Tree species,Sample Name,Plot,Tree,Core,Hits,AMF ,DSE,Vesicle,Coil,Mircrosclerotia,Arbuscules,Spores,Fungal Conidia,Oomycota,Nematode Cysts,Brown Cysts,Fungal Pathogen (2),Brown Cluster,Brown Cells/Orbs,Old Coils,Ectomycorrhizae,Hartig Net,per_AMF,per_dse,per_ves,per_coil,per_ms,per_arb,per_spore,per_conidia,per_oom,per_nema,per_browncyst,per_FP2,per_browncluster,per_brownorbs,per_oldcoils,per_ecto,per_hartig
Goeth,22.7.3,22,7,3,50,31,8,3,0,0,0,0,1,1,5,0,0,0,2,0,0,0,62,16,6,0,0,0,0,2,2,10,0,0,0,4,0,0,0
Goeth,24.2.1,24,2,1,50,10,3,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,20,6,2,0,0,0,0,0,0,0,0,2,0,2,0,0,0
Goeth,24.2.2,24,2,2,25,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
Goeth,24.2.3,24,2,3,50,15,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Penta,28.1.1,28,1,1,50,21,20,2,0,1,0,0,1,1,2,0,0,5,0,0,0,0,42,40,4,0,2,0,0,2,2,4,0,0,10,0,0,0,0
Penta,28.1.2,28,1,2,35,4,10,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,11.42857143,28.57142857,0,0,0,0,0,0,0,0,0,11.42857143,0,0,0,0,0
Penta,28.1.3,28,1,3,50,11,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Penta,33.10.1,33,10,1,50,30,12,1,2,1,0,0,1,1,0,0,0,1,0,0,0,0,60,24,2,4,2,0,0,2,2,0,0,0,2,0,0,0,0
Penta,33.10.2,33,10,2,50,31,6,2,1,2,0,0,2,0,0,2,0,1,0,0,0,0,62,12,4,2,4,0,0,4,0,0,4,0,2,0,0,0,0
Penta,33.10.3,33,10,3,50,14,24,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,28,48,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0
Goeth,34.6.1,34,6,1,50,13,4,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,26,8,0,0,2,0,0,2,2,2,0,0,0,0,0,0,0
Goeth,34.6.3,34,6,3,50,24,19,1,0,1,0,0,4,0,1,1,0,1,1,0,0,0,48,38,2,0,2,0,0,8,0,2,2,0,2,2,0,0,0
Penta,37.4.1,37,4,1,50,18,6,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,36,12,2,2,0,0,0,0,0,2,0,2,0,0,0,0,0
Penta,37.4.2,37,4,2,50,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Penta,37.4.3,37,4,3,50,33,5,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,66,10,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0
Goeth,43.2.1,43,2,1,50,7,3,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,14,6,2,0,2,0,0,0,0,0,2,0,2,0,0,0,0
Goeth,43.2.2,43,2,2,35,11,12,0,0,19,0,1,2,0,0,0,0,0,1,0,0,0,31.42857143,34.28571429,0,0,54.28571429,0,2.857142857,5.714285714,0,0,0,0,0,2.857142857,0,0,0
Goeth,43.2.3,43,2,3,50,20,4,0,1,1,0,0,0,0,3,0,0,0,2,0,0,0,40,8,0,2,2,0,0,0,0,6,0,0,0,4,0,0,0
Penta,43.10.1,43,10,1,50,41,8,1,1,0,0,1,2,0,0,0,1,1,0,0,0,0,82,16,2,2,0,0,2,4,0,0,0,2,2,0,0,0,0
Penta,43.10.2,43,10,2,50,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Penta,43.10.3,43,10,3,50,6,13,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,12,26,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
Penta,46.3.1,46,3,1,50,17,9,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,34,18,0,2,0,0,0,0,0,0,2,0,2,0,0,0,0
Penta,46.3.2,46,3,2,50,13,2,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,26,4,0,0,2,0,0,0,0,2,2,0,0,0,0,0,0
Penta,46.3.3,46,3,3,50,13,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Goeth,48.1.1,48,1,1,50,32,33,1,5,4,0,0,0,0,0,1,0,0,0,2,0,0,64,66,2,10,8,0,0,0,0,0,2,0,0,0,4,0,0
Goeth,48.1.2,48,1,2,50,11,6,0,0,2,0,0,0,2,1,1,0,1,0,0,0,0,22,12,0,0,4,0,0,0,4,2,2,0,2,0,0,0,0
Goeth,48.1.3,48,1,3,50,29,11,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,58,22,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0
Penta,52.4.1,52,4,1,50,11,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,14,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Penta,52.4.2,52,4,2,50,8,2,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,16,4,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0
Penta,52.4.3,52,4,3,60,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.66666667,3.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Penta,55.11.1,55,11,1,50,9,5,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,18,10,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0
Penta,55.11.2A,55,11,2,50,11,2,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,22,4,4,2,0,0,0,0,2,0,0,0,0,0,0,0,0
Penta,55.11.2B,55,11,2,50,17,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
