core_ID,Exclusion,Tree_species,Isotope_label,Tree_DBH,x_plot,y_plot,Slope_cardinal,Slope,Slope_angle ,Depth,Day5_temp_in,Day5_temp_out,GWC,MBC,MBN,MBC_noneg,MBN_noneg,SRL,Dry_root_wt,D7_inc_Co2,D12_inc_Co2,D21_inc_Co2,D42_inc_Co2,D60_inc_Co2,Unsieved_soil_wt,Sieved_soil_wt,Efflux_d1,Efflux_d2,Efflux_d3,Efflux_d4,Efflux_d5,Efflux_d6,Efflux_d7,Efflux_d9,d13_d2,d13_d3,d13_d4,d13_d5,d13_d6,d13_d7,d13_d9,nag,phos,cbh,lap,a_gluc,b_gluc,per_AMF
11_06_1,1,Goeth,S,34.6,3.7,24.5,N,44,0.414506875,5.5,,,0.274036471,913.4198475,21209.48909,913.4198475,21209.48909,16.7904969,80.7,55.07,231.1924068,285.9079155,136.5081963,203.1716488,311.6,274.74,2.173581155,,1.72454653,2.705284669,2.749440837,,,,-3.23,-5.47,-5.28,240.75,,,,1512.388973,408.7537766,14.12219314,,1.714362646,19.51041695,20
11_06_2,2,Goeth,S,34.6,3.7,24.5,N,44,0.414506875,4,25.7,25.9,0.20494152,-81.60996751,10271.7484,,10271.7484,11.49566881,93.3,26.82,93.37070156,79.30088324,15.73912902,49.87482076,319.09,257.72,0.32384522,,2.815623133,1.296020501,1.766241313,,,,13.4,14.13,-1.34,31.17,,,,1072.168273,12.41051144,6.092195072,,4.482257832,43.91309204,22
11_06_2b,,,,,,,,,,,,,,-172.9890574,2182.64849,,2182.64849,,,,,,,,n/a,n/a,,,,,,,,,,,,,,,,,,,,,,42
11_06_3,3,Goeth,S,34.6,3.7,24.5,N,44,0.414506875,4,,,0.361343196,14.5057275,21230.46624,14.5057275,21230.46624,47.70087531,200.5,87.58,124.7396342,173.3423838,468.0389851,77.76978042,334.54,273.18,4.157766705,,0.909117902,0.580136156,0.543551316,,,,-4.49,-7.09,-10.32,16.54,,,,896.7883056,19.25631005,4.258651071,3.888614124,2.02494347,49.91214797,38
11_10_1,1,Goeth,L,31.8,5.3,28.5,N,48,0.447519975,5,,,0.382792136,543.8623171,33052.22535,543.8623171,33052.22535,16.56429703,60.6,44.3,193.3614774,170.2148279,550.3994167,110.3295007,,,,3.249908555,,4.182826393,,2.430063242,4.424412568,3.652817211,,,-9.52,,-10.87,27.73,26.2,836.9217496,13.15279073,13.21485936,12.19534768,1.834230471,43.08501849,22
11_10_2,2,Goeth,L,31.8,5.3,28.5,N,48,0.447519975,3.5,,,0.48860858,,,,,14.68017925,120.5,,,,,,341.81,276.26,,0.427921574,,2.020873479,,2.933024094,2.921668736,1.010512709,,,8.48,,6.78,12,8.33,830.9093841,14.79468145,17.87349876,7.303830793,0.990200346,37.40316761,46
11_10_2a,,,,,,,,,,,,,,124.3189544,-14172.29966,124.3189544,,,,,,,,,245.62,159.32,,,,,,,,,,,,,,,,,,,,,,40
11_10_2b,,,,,,,,,,,,,,25.43554708,23771.93749,25.43554708,23771.93749,,,49.64,85.20088567,98.68859984,294.2089173,29.58171498,n/a,n/a,,,,,,,,,,,,,,,,,,,,,,48.57142857
11_10_3,3,Goeth,L,31.8,5.3,28.5,N,48,0.447519975,4.5,,,0.2888078,383.0422782,36616.84651,383.0422782,36616.84651,31.45809165,441.9,75.1,268.1019857,229.5680779,801.5413017,120.0966102,321.17,220.85,,,,4.641224941,,0.350122827,0.958738369,,,,-13.4,,-14.8,-11.03,-10.46,2362.053913,112.4817208,,,1.980255505,32.73949983,52
12_01_1,1,Goeth,L,23.3,10.9,27.4,N,58,0.525583794,7,,,0.302140089,-129.6045433,15419.03592,,15419.03592,6.440492042,226.2,25.24,54.17733999,83.68168885,246.035598,31.5462482,311.15,265.58,,0.637130708,,1.554312408,,1.530684813,0.566739826,0.997972923,,,-9.14,,-9.98,63.96,39.71,1396.428093,11.31923015,40.5036773,,2.795774459,120.2141054,76
